algorithm,is_baseline,instance_id,size,power_pressure_class,repetition,makespan,best_known_makespan,best_naive_makespan,rpd,hit_bks,within_0_1pct,reached_0_1pct,time_to_0_1pct_s,evaluations_to_0_1pct,within_1pct,reached_1pct,time_to_1pct_s,evaluations_to_1pct,execution_time_s,time_overrun_s,solution_count,solutions_per_second,auc_rpd_time,termination_reason,hit_time_limit,profile_id,status
BRKGA-R-LS,False,n0100_i04,100,low,5,475.9065255865295,475.1972650401108,480.28427364604727,0.14925602451833067,False,False,False,,,True,True,0.0007645000005140901,1.0,150.0003946000943,0.00039460009429603815,461779,3078.5185681085513,0.25940515779601486,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i04,100,low,1,475.5354766028159,475.1972650401108,480.28427364604727,0.07117287652667027,False,True,True,35.037072099978104,98355.0,True,True,0.0018368000164628029,1.0,150.00052979995962,0.0005297999596223235,458908,3059.375860951949,0.09813151095568752,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i04,100,low,2,475.341451688114,475.1972650401108,480.28427364604727,0.030342482714210996,False,True,True,7.434952899930067,40506.0,True,True,0.0010984999826177955,1.0,150.0003259999212,0.00032599992118775845,829672,5531.134645670276,0.04716232129891618,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i04,100,low,3,475.7036746782384,475.1972650401108,480.28427364604727,0.10656829813295489,False,False,False,,,True,True,0.0018328999867662787,1.0,150.00058980006725,0.0005898000672459602,457319,3048.781345523716,0.13772699597225233,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i04,100,low,4,475.7202014278813,475.1972650401108,480.28427364604727,0.11004616950528699,False,False,False,,,True,True,0.0018315999768674374,1.0,150.0007789999945,0.0007789999945089221,457291,3048.5908343183787,0.15878500432772286,time_limit,True,run_b9ece1fb,ok
GA,False,n0100_i04,100,low,5,475.49383191636076,475.1972650401108,480.28427364604727,0.06240921361888527,False,True,True,82.7038073000731,253513.0,True,True,0.002053300035186112,1.0,150.00053800002206,0.0005380000220611691,468053,3120.342141705726,0.16747971104290635,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i04,100,low,1,476.07939901022434,475.1972650401108,480.28427364604727,0.18563532137313488,False,False,False,,,True,True,0.0025427000364288688,1.0,150.00076060008723,0.0007606000872328877,374055,2493.6873553412,0.20243122043074432,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i04,100,low,2,476.29697163114594,475.1972650401108,480.28427364604727,0.23142106908850438,False,False,False,,,True,True,0.0025488000828772783,1.0,150.00039970001671,0.0003997000167146325,422618,2817.4458257790425,0.24026121599176017,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i04,100,low,3,475.8374506260588,475.1972650401108,480.28427364604727,0.13471996432765257,False,False,False,,,True,True,0.0013767000054940581,1.0,150.00025390007067,0.0002539000706747174,698034,4653.552123085247,0.1370297678754928,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i04,100,low,4,475.47352271089846,475.1972650401108,480.28427364604727,0.05813536632294537,False,True,True,11.46571630006656,28909.0,True,True,0.0025385000044479966,1.0,150.00089530006517,0.0008953000651672482,367547,2450.298708316045,0.07321334650851097,time_limit,True,run_b9ece1fb,ok
