algorithm,instance_id,size,power_pressure_class,repetition,checkpoint_s,best_result_time_s,solution_count,makespan,rpd,has_solution,hit_bks,within_0_1pct,within_1pct,beats_or_ties_naive,strictly_beats_naive
GA,n0020_i01,20,medium,5,60.0,0.1494925000006333,2729,75.87946996246778,1.2513868554735708,True,False,False,False,True,True
GA,n0020_i01,20,medium,5,120.0,0.1494925000006333,2729,75.87946996246778,1.2513868554735708,True,False,False,False,True,True
GA,n0020_i01,20,medium,5,150.0,0.1494925000006333,2729,75.87946996246778,1.2513868554735708,True,False,False,False,True,True
HPSO,n0020_i01,20,medium,1,1.0,0.18570450000697747,3551,75.13088620074211,0.2524981693809835,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,1,5.0,0.18570450000697747,3551,75.13088620074211,0.2524981693809835,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,1,15.0,0.18570450000697747,3551,75.13088620074211,0.2524981693809835,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,1,30.0,0.18570450000697747,3551,75.13088620074211,0.2524981693809835,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,1,60.0,0.18570450000697747,3551,75.13088620074211,0.2524981693809835,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,1,120.0,0.18570450000697747,3551,75.13088620074211,0.2524981693809835,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,1,150.0,0.18570450000697747,3551,75.13088620074211,0.2524981693809835,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,2,1.0,0.22535429999697953,4226,75.57106418705403,0.839859040501681,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,2,5.0,0.22535429999697953,4226,75.57106418705403,0.839859040501681,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,2,15.0,9.079997499997262,181742,75.47468249655752,0.7112500790121759,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,2,30.0,9.079997499997262,181742,75.47468249655752,0.7112500790121759,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,2,60.0,9.079997499997262,181742,75.47468249655752,0.7112500790121759,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,2,120.0,9.079997499997262,181742,75.47468249655752,0.7112500790121759,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,2,150.0,9.079997499997262,181742,75.47468249655752,0.7112500790121759,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,3,1.0,0.1431305999867618,3006,75.76685133780623,1.1011117950602842,True,False,False,False,True,True
HPSO,n0020_i01,20,medium,3,5.0,0.1431305999867618,3006,75.76685133780623,1.1011117950602842,True,False,False,False,True,True
HPSO,n0020_i01,20,medium,3,15.0,11.960079799988307,182986,75.12863436076827,0.2494933787513125,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,3,30.0,11.960079799988307,182986,75.12863436076827,0.2494933787513125,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,3,60.0,11.960079799988307,182986,75.12863436076827,0.2494933787513125,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,3,120.0,11.960079799988307,182986,75.12863436076827,0.2494933787513125,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,3,150.0,11.960079799988307,182986,75.12863436076827,0.2494933787513125,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,4,1.0,0.8465842000441626,17057,75.1703284395903,0.30512876084452417,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,4,5.0,1.3817736000055447,27794,75.1686626565996,0.30290598783235906,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,4,15.0,1.3817736000055447,27794,75.1686626565996,0.30290598783235906,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,4,30.0,1.3817736000055447,27794,75.1686626565996,0.30290598783235906,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,4,60.0,1.3817736000055447,27794,75.1686626565996,0.30290598783235906,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,4,120.0,1.3817736000055447,27794,75.1686626565996,0.30290598783235906,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,4,150.0,1.3817736000055447,27794,75.1686626565996,0.30290598783235906,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,5,1.0,0.3362630999763496,3489,75.45297013907808,0.6822777323710759,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,5,5.0,0.3362630999763496,3489,75.45297013907808,0.6822777323710759,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,5,15.0,0.3362630999763496,3489,75.45297013907808,0.6822777323710759,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,5,30.0,0.3362630999763496,3489,75.45297013907808,0.6822777323710759,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,5,60.0,53.844609900028445,521566,75.44228601378116,0.6680211422263929,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,5,120.0,53.844609900028445,521566,75.44228601378116,0.6680211422263929,True,False,False,True,True,True
HPSO,n0020_i01,20,medium,5,150.0,53.844609900028445,521566,75.44228601378116,0.6680211422263929,True,False,False,True,True,True
TS,n0020_i01,20,medium,1,1.0,0.2077481000451371,7315,75.1488714082603,0.27649711408897076,True,False,False,True,True,True
TS,n0020_i01,20,medium,1,5.0,4.672921199991833,156679,74.95102449062101,0.01249586571483269,True,False,True,True,True,True
TS,n0020_i01,20,medium,1,15.0,5.019158100010827,167741,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,1,30.0,5.019158100010827,167741,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,1,60.0,5.019158100010827,167741,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,1,120.0,5.019158100010827,167741,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,1,150.0,5.019158100010827,167741,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,2,1.0,0.3460742000024766,11299,75.39879544119742,0.6099885704198168,True,False,False,True,True,True
TS,n0020_i01,20,medium,2,5.0,4.896288299991284,161383,75.28154224770147,0.4535292743734566,True,False,False,True,True,True
TS,n0020_i01,20,medium,2,15.0,7.064395699999295,231505,74.95102449062101,0.01249586571483269,True,False,True,True,True,True
TS,n0020_i01,20,medium,2,30.0,24.968290999997407,715866,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,2,60.0,24.968290999997407,715866,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,2,120.0,24.968290999997407,715866,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,2,150.0,24.968290999997407,715866,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,3,1.0,0.8499932999839075,27945,75.27939174874876,0.45065971029373925,True,False,False,True,True,True
TS,n0020_i01,20,medium,3,5.0,3.7838585999561474,124797,75.16760076036627,0.30148902397673594,True,False,False,True,True,True
TS,n0020_i01,20,medium,3,15.0,12.079099699971266,297007,74.99683038457387,0.07361793590293304,True,False,True,True,True,True
TS,n0020_i01,20,medium,3,30.0,19.010717199998908,522329,74.967328438294,0.03425138554023922,True,False,True,True,True,True
TS,n0020_i01,20,medium,3,60.0,48.37780620000558,1452938,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,3,120.0,48.37780620000558,1452938,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,3,150.0,48.37780620000558,1452938,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,4,1.0,0.09718829998746514,3315,75.47004815166254,0.7050661421974415,True,False,False,True,True,True
TS,n0020_i01,20,medium,4,5.0,2.060844499967061,64739,75.26990283886589,0.43799798129295664,True,False,False,True,True,True
TS,n0020_i01,20,medium,4,15.0,13.479091199988034,350726,75.03683323483547,0.12699659114607542,True,False,False,True,True,True
TS,n0020_i01,20,medium,4,30.0,20.873279399995226,600618,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,4,60.0,20.873279399995226,600618,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,4,120.0,20.873279399995226,600618,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,4,150.0,20.873279399995226,600618,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,5,1.0,0.17422610003268346,3488,75.47004815166254,0.7050661421974415,True,False,False,True,True,True
