algorithm,size,power_pressure_class,runs,instances,arpd,median_rpd,q1_rpd,q3_rpd,iqr_rpd,std_rpd,bks_hits,bks_hit_rate_pct,within_0_1pct_runs,within_0_1pct_rate_pct,median_time_to_0_1pct_s_among_successes,not_reached_0_1pct_runs,median_evaluations_to_0_1pct_among_successes,within_1pct_runs,within_1pct_rate_pct,median_time_to_1pct_s_among_successes,not_reached_1pct_runs,median_evaluations_to_1pct_among_successes,median_solution_count,median_solutions_per_second,median_auc_rpd_time
GA,200,medium,10,2,0.18985756523568634,0.1493959369801161,0.1309766615931815,0.2714949696163957,0.1405183080232142,0.08636942677132942,0,0.0,1,10.0,112.47840809996706,9,212138.0,10,100.0,0.6128307500039227,0,1332.0,304101.0,2027.3226135636846,0.27802338851151726
GA,500,high,10,2,0.3001489444839856,0.2986213414744398,0.20774228728117813,0.39493647258700976,0.18719418530583162,0.10594272987299125,0,0.0,0,0.0,,10,,10,100.0,6.283184750005603,0,10191.0,238919.5,1592.7850707238892,0.47042828999537945
GA,500,low,10,2,0.16067170021059005,0.1582399573863761,0.145500407216083,0.16622839524760916,0.020727988031526146,0.03633819989155155,0,0.0,0,0.0,,10,,10,100.0,0.005761100037489086,0,1.0,181581.0,1210.535373826087,0.24098753661237943
GA,500,medium,10,2,0.1743729389715243,0.17845258902950184,0.15258164035727093,0.19340942678673845,0.04082778642946752,0.04732719786395894,0,0.0,1,10.0,141.3504541000584,9,183522.0,10,100.0,0.005694199935533106,0,1.0,198963.5,1326.4209625907924,0.27803892690571747
HPSO,20,high,10,2,0.3677423509274765,0.16296787746168012,0.10882367206889886,0.3370945923212751,0.22827092025237622,0.5639277988979267,1,10.0,2,20.0,14.655743399925996,8,116352.0,9,90.0,0.08511620003264397,1,968.0,1597417.0,10649.399514669127,0.23396314306893212
HPSO,20,low,10,2,0.11559589017623162,0.02879625246320667,0.0,0.22828705980665223,0.22828705980665223,0.14392718584214734,5,50.0,6,60.0,0.000620749982772395,4,1.0,10,100.0,0.013964549987576902,0,148.0,1496263.0,9975.054851325793,0.12102382808505256
HPSO,20,medium,10,2,0.4647225574541354,0.32421284496772396,0.3082327021162003,0.70044284481573,0.39221014269952975,0.22063926020774408,0,0.0,0,0.0,,10,,10,100.0,0.16053774999454618,0,1939.5,2203109.5,14687.34591676334,0.42093233875441793
HPSO,50,high,10,2,0.4672107528710835,0.467870241981985,0.3496236078795238,0.5684351679563844,0.2188115600768606,0.1664586399771054,0,0.0,0,0.0,,10,,10,100.0,0.23779944994021207,0,1336.5,851289.5,5675.2520477494,0.4750305418066239
HPSO,50,low,10,2,0.36622165739208956,0.25753897184489466,0.1867943037683256,0.45337787564369963,0.26658357187537407,0.26150648419226435,0,0.0,1,10.0,29.01450930000283,9,115007.0,10,100.0,0.24524929997278377,0,1131.0,694785.0,4631.889842605218,0.26101543119110593
HPSO,50,medium,10,2,0.2749428411156072,0.26151794496883546,0.2245228385096949,0.27808841198625234,0.05356557347655744,0.11606542770714247,0,0.0,0,0.0,,10,,10,100.0,0.06713350000791252,0,314.0,774017.0,5160.1010457511475,0.2718907950786654
HPSO,100,high,10,2,0.1877383587910414,0.1529401577915619,0.135829766113755,0.24416979893276358,0.10834003281900859,0.09260423459343894,0,0.0,1,10.0,27.61006850004196,9,88978.0,10,100.0,0.419337350060232,0,1350.5,498500.5,3323.3269876198156,0.16862009621802393
HPSO,100,low,10,2,0.19913931288374448,0.186606415476356,0.13217537102057367,0.22489459007573998,0.09271921905516631,0.11241963336605354,0,0.0,1,10.0,11.46571630006656,9,28909.0,10,100.0,0.04351445002248511,0,153.0,380461.0,2536.3959111020313,0.2037848718687845
HPSO,100,medium,10,2,0.1981093907843266,0.1754012171439258,0.12386862893290276,0.22518494063333944,0.10131631170043667,0.10676127844638927,0,0.0,2,20.0,17.21501939999871,8,55095.0,10,100.0,0.1400848000193946,0,326.0,446364.0,2975.742932978174,0.18823269912176904
HPSO,200,high,10,2,0.10943536984643468,0.11289571472692697,0.062209061682699344,0.17672059812387797,0.11451153644117862,0.07631750009155305,2,20.0,5,50.0,75.86404120002408,5,136295.0,10,100.0,0.48519420000957325,0,872.5,287839.5,1918.9173374169955,0.18345757636670917
HPSO,200,low,10,2,0.09729210896594073,0.10691269174461235,0.01114316790470879,0.1521589302624019,0.14101576235769311,0.08592873013532522,2,20.0,4,40.0,35.31681805005064,6,43408.0,10,100.0,0.005334099929314107,0,1.0,190359.5,1269.048100734409,0.16940604478227497
HPSO,200,medium,10,2,0.04763761172584772,0.04531848697419352,0.01600210685596214,0.06931225830034757,0.05331015144438543,0.041598144848928535,2,20.0,9,90.0,45.64838410005905,1,70583.0,10,100.0,0.2013812000514008,0,316.5,271317.0,1808.7620409232045,0.11356679204588618
HPSO,500,high,10,2,0.06018280913578078,0.07329459713998236,0.03462224191357687,0.08347021571242474,0.04884797379884787,0.04002856713831449,2,20.0,8,80.0,107.51345309999306,2,142794.5,10,100.0,1.343840249988716,0,1944.0,208402.0,1389.3364936585472,0.2212380626184255
HPSO,500,low,10,2,0.043121419643484205,0.04521577075894684,0.015117214551778304,0.055186766726801305,0.040069552175023004,0.03779725994273174,2,20.0,9,90.0,63.99285519996192,1,74375.0,10,100.0,0.0068445499637164176,0,1.0,162857.0,1085.7041337158444,0.12217159574475836
HPSO,500,medium,10,2,0.04229401426791356,0.04613098238766142,0.011649376451653462,0.05186486954404586,0.0402154930923924,0.035345969300914125,2,20.0,9,90.0,66.00872140005231,1,75974.0,10,100.0,0.006710649991873652,0,1.0,177763.0,1185.077595529412,0.12564576295713437
TS,20,high,10,2,0.0,0.0,0.0,0.0,0.0,0.0,10,100.0,10,100.0,15.420662700023968,0,233018.0,10,100.0,0.14415929996175691,0,3108.5,3080211.5,20534.518887720656,0.017367408489034074
TS,20,low,10,2,0.003092765427862738,0.0,0.0,0.0,0.0,0.009780183020671435,9,90.0,10,100.0,0.0859006000100635,0,1657.0,10,100.0,0.02039900003001094,0,404.5,2723611.5,18157.22944077594,0.0012495429489260677
TS,20,medium,10,2,0.0,0.0,0.0,0.0,0.0,0.0,10,100.0,10,100.0,13.583345599996392,0,256389.5,10,100.0,0.06990910004242323,0,1796.0,3254113.5,21693.79832368787,0.0314656484725004
TS,50,high,10,2,0.02379994038662672,0.01288950380989478,0.003951101265761017,0.025592753976017145,0.02164165271025613,0.029421721506579238,2,20.0,10,100.0,23.66687215003185,0,186532.5,10,100.0,0.16170415002852678,0,1516.0,1339123.0,8927.436836314973,0.07344817672183501
TS,50,low,10,2,0.046651238969629326,0.03349334382949983,0.019832444297685905,0.05725754637962587,0.03742510208193997,0.04641902753667754,2,20.0,8,80.0,24.203748399973847,2,136818.5,10,100.0,0.18874524999409914,0,1363.0,975119.0,6500.765614343569,0.08725003425204617
TS,50,medium,10,2,0.04608159072317593,0.03667694410194971,0.008945444927200149,0.08186295097874956,0.07291750605154941,0.04109231088183642,2,20.0,9,90.0,38.50979779998306,1,283997.0,10,100.0,0.053955649957060814,0,453.0,1178641.0,7857.569756998288,0.09049268401619091
TS,100,high,10,2,0.12100063169471538,0.1118547947812514,0.0791641666644349,0.13671495359190172,0.05755078692746682,0.07781204136305542,1,10.0,5,50.0,34.80699379998259,5,147979.0,10,100.0,0.5503438499872573,0,2727.0,694851.5,4632.32660592362,0.14505429659065228
TS,100,low,10,2,0.04306490382159871,0.04067179096290445,0.028585139085555995,0.05985167089246413,0.03126653180690814,0.0328228001808172,2,20.0,9,90.0,10.678083300008439,1,48372.0,10,100.0,0.06084004993317649,0,284.5,478118.5,3187.4459104037965,0.0711536275049813
TS,100,medium,10,2,0.06976037697529705,0.06616377050350764,0.051300475355223724,0.10444981442539031,0.053149339070166585,0.047787570256775,2,20.0,7,70.0,25.721114699961618,3,88651.0,10,100.0,0.11368214996764436,0,492.5,596139.0,3974.248438443243,0.09867322282448063
TS,200,high,10,2,0.1856022568905446,0.1778824369369359,0.12992216540706286,0.24778420237368873,0.11786203696662587,0.08563422179553282,0,0.0,1,10.0,52.00646099995356,9,126311.0,10,100.0,0.8855053499573842,0,2126.0,350907.0,2339.3684588998003,0.22820955481990401
TS,200,low,10,2,0.08038952967114635,0.07652890531861861,0.05363088256250272,0.10094699559724621,0.047316113034743486,0.04556035434167508,0,0.0,7,70.0,55.27423500001896,3,72502.0,10,100.0,0.0007035000016912818,0,1.0,220430.5,1469.5318552279164,0.141088795050282
TS,200,medium,10,2,0.05655160107228292,0.0540802323298394,0.045395632237985914,0.06794065724421228,0.022545025006226363,0.021772251147404238,0,0.0,10,100.0,36.085233049991075,0,73780.5,10,100.0,0.3492665500380099,0,799.0,332995.0,2219.961604206299,0.10773029877951158
TS,500,high,10,2,0.15837561248963988,0.17082777955665993,0.10156951837919824,0.2148593259227255,0.11328980754352726,0.08334542478951758,0,0.0,3,30.0,74.72619089996442,7,108859.0,10,100.0,2.800641399982851,0,5192.5,245919.0,1639.4544829056608,0.29107336547794826
TS,500,low,10,2,0.047501491972056734,0.036596538097937545,0.028877864845544634,0.06536128964907281,0.036483424803528175,0.0317713179464572,0,0.0,9,90.0,65.31681590003427,1,77275.0,10,100.0,0.0008580000139772892,0,1.0,184823.5,1232.1512677178296,0.11981781598602492
TS,500,medium,10,2,0.06497541674043666,0.046914851967109705,0.0356539882819026,0.06657262201544965,0.03091863373354705,0.05272048460965529,0,0.0,8,80.0,68.71706894994713,2,90462.0,10,100.0,0.0007826999644748867,0,1.0,203430.5,1356.1978523671435,0.15375132612325787
