variant,instance_id,repetition,size,power_pressure_class,ga_rpd,variant_rpd,rpd_improvement_over_ga,outcome,ga_reached_0_1pct,variant_reached_0_1pct,ga_time_to_0_1pct_s,variant_time_to_0_1pct_s,ga_evaluations_to_0_1pct,variant_evaluations_to_0_1pct,ga_reached_1pct,variant_reached_1pct,ga_time_to_1pct_s,variant_time_to_1pct_s,ga_evaluations_to_1pct,variant_evaluations_to_1pct
2PGA,n0500_i02,5,500,medium,0.20075435427383653,0.44090043347354396,-0.24014607919970743,ga_win,False,False,,,,,True,True,0.0056885998928919435,0.010123500003828667,1.0,1.0
2PGA,n0500_i03,1,500,high,0.4417017422550169,0.865525332460088,-0.4238235902050711,ga_win,False,False,,,,,True,True,14.768813599948771,92.98500380000041,23310.0,90456.0
2PGA,n0500_i03,2,500,high,0.4028054136210623,0.8416648162318374,-0.4388594026107751,ga_win,False,False,,,,,True,True,12.91004550002981,75.68172399999457,20522.0,72728.0
2PGA,n0500_i03,3,500,high,0.36738294734202315,0.8790768061801246,-0.5116938588381015,ga_win,False,False,,,,,True,True,17.855232600006275,95.35575789998984,28820.0,90532.0
2PGA,n0500_i03,4,500,high,0.37535041659224133,0.8914702360362001,-0.5161198194439588,ga_win,False,False,,,,,True,True,12.560549000045285,92.35217739999644,20381.0,90798.0
2PGA,n0500_i03,5,500,high,0.4014651579185992,0.8645471605553753,-0.46308200263677607,ga_win,False,False,,,,,True,True,15.981619499973021,100.44044379999104,25375.0,99175.0
2PGA,n0500_i04,1,500,medium,0.08816911789327603,0.26013354167369346,-0.17196442378041743,ga_win,True,False,141.3504541000584,,183522.0,,True,True,0.005731099983677268,0.009778100007679313,1.0,1.0
2PGA,n0500_i04,2,500,medium,0.13968574203391868,0.3030246829374036,-0.1633389409034849,ga_win,False,False,,,,,True,True,0.005870399996638298,0.009603800004697405,1.0,1.0
2PGA,n0500_i04,3,500,medium,0.15514159512430095,0.2735831031578413,-0.11844150803354034,ga_win,False,False,,,,,True,True,0.005692399921827018,0.010286999997333623,1.0,1.0
2PGA,n0500_i04,4,500,medium,0.15172832210159426,0.23496630135971214,-0.08323797925811788,ga_win,False,False,,,,,True,True,0.005785299930721521,0.0096956999914255,1.0,1.0
2PGA,n0500_i04,5,500,medium,0.173052091320243,0.23785689318076148,-0.06480480186051849,ga_win,False,False,,,,,True,True,0.005661400035023689,0.006106200002250262,1.0,1.0
2PGA,n0500_i05,1,500,low,0.12175902420260075,0.2786850222311317,-0.1569259980285309,ga_win,False,False,,,,,True,True,0.005688200006261468,0.009931499997037463,1.0,1.0
2PGA,n0500_i05,2,500,low,0.1541556062475575,0.2696667264582255,-0.11551112021066798,ga_win,False,False,,,,,True,True,0.00562109996099025,0.009936700007528998,1.0,1.0
2PGA,n0500_i05,3,500,low,0.11849598466170463,0.31043267976341415,-0.19193669510170952,ga_win,False,False,,,,,True,True,0.0057978000259026885,0.00999710000178311,1.0,1.0
2PGA,n0500_i05,4,500,low,0.17541706567393195,0.25675263093729916,-0.08133556526336722,ga_win,False,False,,,,,True,True,0.005716900108382106,0.009700700000394136,1.0,1.0
2PGA,n0500_i05,5,500,low,0.1585594242826284,0.2731740769662584,-0.11461465268363,ga_win,False,False,,,,,True,True,0.005647500045597553,0.0121285000059288,1.0,1.0
2PGA,n0500_i06,1,500,high,0.22985973560685646,0.39461063511898076,-0.1647508995121243,ga_win,False,False,,,,,True,True,0.005595700000412762,0.010167300002649426,1.0,1.0
2PGA,n0500_i06,2,500,high,0.1664298001748636,0.4396024369457601,-0.27317263677089654,ga_win,False,False,,,,,True,True,0.0056010999251157045,0.009671299994806759,1.0,1.0
2PGA,n0500_i06,3,500,high,0.21835817888449569,0.4253359093545016,-0.20697773047000592,ga_win,False,False,,,,,True,True,0.0055868999334052205,0.009847799999988638,1.0,1.0
2PGA,n0500_i06,4,500,high,0.20420365674673896,0.41461458002312374,-0.21041092327638478,ga_win,False,False,,,,,True,True,0.00563439994584769,0.009841999999480322,1.0,1.0
2PGA,n0500_i06,5,500,high,0.19393239569795842,0.3654956559505768,-0.1715632602526184,ga_win,False,False,,,,,True,True,0.005820499965921044,0.009859600002528168,1.0,1.0
BRKGA-R-LS,n0020_i01,1,20,medium,0.7450974196442167,0.09298694423163034,0.6521104754125864,variant_win,False,True,,59.10693080001511,,1764890.0,True,True,0.10609809996094555,0.9428165000281297,2808.0,30315.0
BRKGA-R-LS,n0020_i01,2,20,medium,1.2571536909664822,0.0708601909599329,1.1862935000065493,variant_win,False,True,,47.358971200010274,,1345583.0,False,True,,0.17038129997672513,,4835.0
BRKGA-R-LS,n0020_i01,3,20,medium,1.218770346338317,0.027075796401782776,1.1916945499365343,variant_win,False,True,,46.12013960001059,,1391236.0,False,True,,0.09301419998519123,,3344.0
BRKGA-R-LS,n0020_i01,4,20,medium,0.260893741836982,0.2512682535719114,0.009625488265070592,variant_win,False,False,,,,,True,True,0.04899849998764694,5.758125599997584,917.0,30372.0
BRKGA-R-LS,n0020_i01,5,20,medium,1.2513868554735708,0.2512682535719114,1.0001186019016592,variant_win,False,False,,,,,False,True,,0.42314149998128414,,8398.0
