scheduler_name,config,config_id,instance_id,size,makespan,execution_time_s,best_known_makespan,rpd
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",13,8,100,720.8074961216653,1.8517634868621826,720.8074961216653,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",13,9,100,745.7776021484732,1.8371965885162354,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",14,1,20,129.02848720614782,0.40356993675231934,125.88789655364162,2.4947518693093467
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",14,2,20,123.31501028263087,0.6419374942779541,119.87520229994017,2.869490867747559
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",14,3,20,165.17334233609765,1.7883632183074951,164.19739149143297,0.59437658284334
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",14,4,50,328.1004430040695,0.9839088916778564,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",14,5,50,366.408275606738,0.9581091403961182,366.408275606738,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",14,6,50,391.6436471607254,0.9576206207275391,391.6436471607254,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",14,7,100,772.5070909931579,1.8918354511260986,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",14,8,100,720.8074961216653,1.87618088722229,720.8074961216653,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",14,9,100,745.7776021484732,1.8345775604248047,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",15,1,20,127.91603542018903,0.6404314041137695,125.88789655364162,1.6110674036746697
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",15,2,20,125.6112636257005,0.37746453285217285,119.87520229994017,4.78502744162893
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",15,3,20,169.76712378693958,0.6992316246032715,164.19739149143297,3.3920954802727263
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",15,4,50,328.1004430040695,0.9211390018463135,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",15,5,50,366.408275606738,0.954688310623169,366.408275606738,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",15,6,50,391.8280566342792,0.9660465717315674,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",15,7,100,772.5070909931579,1.9063475131988525,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",15,8,100,720.8074961216653,1.8607146739959717,720.8074961216653,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",15,9,100,745.7776021484732,1.8207948207855225,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",16,1,20,128.4796766019214,0.4711182117462158,125.88789655364162,2.058800027034687
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",16,2,20,120.53360784515061,1.4751732349395752,119.87520229994017,0.5492424893374055
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",16,3,20,169.11177861550377,0.5940191745758057,164.19739149143297,2.9929751498684487
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",16,4,50,328.1004430040695,0.9365606307983398,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",16,5,50,366.408275606738,0.9499588012695312,366.408275606738,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",16,6,50,391.8280566342792,0.963007926940918,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",16,7,100,772.5070909931579,1.8944435119628906,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",16,8,100,720.8074961216653,1.8572900295257568,720.8074961216653,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",16,9,100,745.7776021484732,1.8278512954711914,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",17,1,20,126.7864192731778,0.3851437568664551,125.88789655364162,0.7137482983944436
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",17,2,20,125.6112636257005,0.3747518062591553,119.87520229994017,4.78502744162893
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",17,3,20,168.53106098840686,0.4200117588043213,164.19739149143297,2.6393047158730334
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",17,4,50,328.1004430040695,0.9309887886047363,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",17,5,50,366.408275606738,0.9532120227813721,366.408275606738,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",17,6,50,391.8280566342792,0.9590277671813965,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",17,7,100,772.5070909931579,1.9073147773742676,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",17,8,100,720.8074961216653,1.8704915046691895,720.8074961216653,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",17,9,100,745.7776021484732,1.851789951324463,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",18,1,20,128.6608183419898,0.42337608337402344,125.88789655364162,2.2026913343226857
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",18,2,20,124.83309601773306,0.578881025314331,119.87520229994017,4.135879333398513
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",18,3,20,170.9375152953058,0.3619978427886963,164.19739149143297,4.10489091370522
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",18,4,50,328.1004430040695,0.9258956909179688,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",18,5,50,366.408275606738,0.953162670135498,366.408275606738,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",18,6,50,391.8280566342792,0.9531214237213135,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",18,7,100,772.5070909931579,1.8944165706634521,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",18,8,100,720.8074961216653,1.8604037761688232,720.8074961216653,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",18,9,100,745.7776021484732,1.8268930912017822,745.7718161905123,0.0007758348914945377
